 ,成就ID,成就名称 不能超过十个字（2个英文字母算一个字）,成就描述,图标ID,背景颜色,小图标ID,成就主类型,成就子类型,成就完成条件,成就完成数组,成就分数,奖励铜钱,奖励灵力,奖励声望,奖励物品ID,奖励金币,奖励称号ID,是否触发系统消息,是否不显示,是否可领取奖励,前十领取
,302021,精英副本！九尾妖狐,通关副本“精英九尾妖狐”后获得,demon/6320.png,1,,3,302,302,103002,10,,,,,,,,,,
,302022,精英副本！银角大王,通关副本“精英银角大王”后获得,demon/6160.png,1,,3,302,302,103003,10,,,,,,,,,,
,302023,精英副本！金角大王,通关副本“精英金角大王”后获得,demon/6030.png,1,,3,302,302,103004,10,,,,,,,,,,
,302024,精英副本！青狮道人,通关副本“精英青狮道人”后获得,demon/6240.png,1,,3,302,302,103005,10,,,,,,,,,,
,302025,精英副本！红孩儿,通关副本“精英红孩儿”后获得,demon/6150.png,1,,3,302,302,103006,10,,,,,,,,,,
魔王多闻天王,303001,魔王副本！多闻天王,通关副本“魔王多闻天王”后获得,demon/6100.png,1,,3,303,303,201001,10,,,,,,,,,,
魔王雷公,303002,魔王副本！雷公,通关副本“魔王雷公”后获得,demon/6020.png,1,,3,303,303,201002,10,,,,,,,,,,
魔王阎王,303003,魔王副本！阎王,通关副本“魔王阎王”后获得,demon/6170.png,1,,3,303,303,201003,10,,,,,,,,,,
魔王哪吒,303004,魔王副本！哪吒,通关副本“魔王哪吒”后获得,demon/6010.png,1,,3,303,303,201004,10,,,,,,,,,,
魔王李靖,303005,魔王副本！李靖,通关副本“魔王李靖”后获得,demon/6110.png,1,,3,303,303,201005,10,,,,,,,,,,
魔王二郎神,303006,魔王副本！二郎神,通关副本“魔王二郎神”后获得,demon/6040.png,1,,3,303,303,202001,20,,,,,,,,,,
魔王寅将军,303007,魔王副本！寅将军,通关副本“魔王寅将军”后获得,demon/6120.png,1,,3,303,303,202002,20,,,,,,,,,,
魔王熊罴精,303008,魔王副本！熊罴精,通关副本“魔王熊罴精”后获得,demon/6130.png,1,,3,303,303,202003,20,,,,,,,,,,
魔王猪刚鬣,303009,魔王副本！猪刚鬣,通关副本“魔王猪刚鬣”后获得,demon/6200.png,1,,3,303,303,202004,30,,,,,,,,,,
魔王河妖,303010,魔王副本！河妖,通关副本“魔王河妖”后获得,demon/6180.png,1,,3,303,303,202005,30,,,,,,,,,,
魔王白骨精,303011,魔王副本！白骨精,通关副本“魔王白骨精”后获得,demon/6050.png,1,,3,303,303,203001,30,,,,,,,,,,
魔王黄袍怪,303012,魔王副本！黄袍怪,通关副本“魔王黄袍怪”后获得,demon/6060.png,1,,3,303,303,203002,30,,,,,,,,,,
魔王金角大王,303013,魔王副本！金角大王,通关副本“魔王金角大王”后获得,demon/6030.png,1,,3,303,303,203003,40,,,,,,,,,,
魔王青狮道人,303014,魔王副本！青狮道人,通关副本“魔王青狮道人”后获得,demon/6240.png,1,,3,303,303,203004,40,,,,,,,,,,
魔王红孩儿,303015,魔王副本！红孩儿,通关副本“魔王红孩儿”后获得,demon/6150.png,1,,3,303,303,203005,40,,,,,,,,,,
,303017,旋转跳跃我闭上眼～,通关副本“魔王多闻天王”评价达到SSS（组队无法获得）,demon/6100.png,4,,3,303,308,201001|5,20,,,,,,,301,,,
,303018,钛合金超人,通关副本“魔王雷公”评价达到SSS（组队无法获得）,demon/6020.png,4,,3,303,308,201002|5,20,,,,,,,301,,,
,303019,什么样的黑洞是最摇摆,通关副本“魔王阎王”评价达到SSS（组队无法获得）,demon/6170.png,4,,3,303,308,201003|5,20,,,,,,,301,,,
,303020,跳一曲火焰的探戈,通关副本“魔王哪吒”评价达到SSS（组队无法获得）,demon/6010.png,4,,3,303,308,201004|5,20,,,,,,,301,,,
,303021,许士林砸塔,通关副本“魔王李靖”评价达到SSS（组队无法获得）,demon/6110.png,4,,3,303,308,201005|5,30,,,,,,,301,,,
,303022,帅气的我解决帅气的你,通关副本“魔王二郎神”评价达到SSS（组队无法获得）,demon/6040.png,4,,3,303,308,202001|5,30,,,,,,,301,,,
,303023,武松附体,通关副本“魔王寅将军”评价达到SSS（组队无法获得）,demon/6120.png,4,,3,303,308,202002|5,30,,,,,,,301,,,
,303024,猎熊者,通关副本“魔王熊罴精”评价达到SSS（组队无法获得）,demon/6130.png,4,,3,303,308,202003|5,30,,,,,,,301,,,
,303025,野猪大逃杀,通关副本“魔王猪刚鬣”评价达到SSS（组队无法获得）,demon/6200.png,4,,3,303,308,202004|5,40,,,,,,,301,,,
,303026,理发师的爱,通关副本“魔王河妖”评价达到SSS（组队无法获得）,demon/6180.png,4,,3,303,308,202005|5,40,,,,,,,301,,,
,303027,调教女王,通关副本“魔王白骨精”评价达到SSS（组队无法获得）,demon/6050.png,4,,3,303,308,203001|5,40,,,,,,,301,,,
,303028,烈烈风中卷黄袍,通关副本“魔王黄袍怪”评价达到SSS（组队无法获得）,demon/6060.png,4,,3,303,308,203002|5,40,,,,,,,301,,,
,303029,法宝再多，一招就秒,通关副本“魔王金角大王”评价达到SSS（组队无法获得）,demon/6030.png,4,,3,303,308,203003|5,50,,,,,,,301,,,
,303030,砸地狂人终结者,通关副本“魔王青狮道人”评价达到SSS（组队无法获得）,demon/6240.png,4,,3,303,308,203004|5,50,,,,,,,301,,,
,303031,斗牛士,通关副本“魔王红孩儿”评价达到SSS（组队无法获得）,demon/6150.png,4,,3,303,308,203005|5,50,,,,,,,301,,,
,304001,组队通关，十次,累计组队通关副本10次,achieve/zudui.png,2,,3,304,307,10,10,,,,,,,,,,
,304002,组队通关，五十次,累计组队通关副本50次,achieve/zudui.png,3,,3,304,307,50,10,,,,,,,,,,
,304003,组队通关，一百次,累计组队通关副本100次,achieve/zudui.png,4,,3,304,307,100,20,,,,,,,,,,
,304004,组队通关，二百次,累计组队通关副本200次,achieve/zudui.png,5,,3,304,307,200,10,,,,,,,,,,
,401001,奋战天下，一百次,累计参加竞技场战斗100次,achieve/5115.png,2,,4,401,401,100,10,,,,,,,,,,
,401002,奋战天下，五百次,累计参加竞技场战斗500次,achieve/5114.png,3,,4,401,401,500,30,,,,,,,,,,
,401003,奋战天下，一千次,累计参加竞技场战斗1000次,achieve/5113.png,4,,4,401,401,1000,50,,,,,,,,,,
,401004,竞技！胜利，五十场,累计在竞技场战斗中胜利50场,achieve/5113.png,2,,4,401,402,50,20,,,,,,,,,,
,401005,竞技！胜利，一百场,累计在竞技场战斗中胜利100场,achieve/5113.png,3,,4,401,402,100,40,,,,,,,,,,
,401006,竞技！胜利，一千场,累计在竞技场战斗中胜利1000场,achieve/5113.png,4,,4,401,402,1000,60,,,,,,,,,,
,401007,竞技！连胜，十场,在竞技场中连胜10场,achieve/5110.png,3,,4,401,403,10,10,,,,,,,,,,
,401008,竞技！连胜，二十场,在竞技场中连胜20场,achieve/5111.png,4,,4,401,403,20,20,,,,,,,,,,
,401009,竞技！连胜，五十场,在竞技场中连胜50场,achieve/5112.png,5,,4,401,403,50,30,,,,,,,,,,
,401010,竞技！武状元,在竞技场中获得第一名,achieve/5113.png,7,,4,401,404,1,50,,,,,,,301,,,
,401011,竞技！武榜眼,在竞技场中获得第二名,achieve/5114.png,6,,4,401,404,2,30,,,,,,,,,,
,401012,竞技！武探花,在竞技场中获得第三名,achieve/5115.png,5,,4,401,404,3,10,,,,,,,,,,
,401013,竞技！前十,在竞技场战斗中进入前10名,achieve/5115.png,4,,4,401,404,10,10,,,,,,,,,,
,401014,竞技！前五十,在竞技场战斗中进入前50名,achieve/5116.png,3,,4,401,404,50,10,,,,,,,,,,
,401015,竞技！前一百,在竞技场战斗中进入前100名,achieve/5117.png,2,,4,401,404,100,10,,,,,,,,,,
,402001,跨服竞技！胜利，十场,累计在跨服竞技场战斗中胜利10场,achieve/5118.png,1,,4,402,407,10,10,,,,,,,,,,
,402002,跨服竞技！胜利，百场,累计在跨服竞技场战斗中胜利100场,achieve/5119.png,1,,4,402,407,100,20,,,,,,,,,,
,402003,跨服竞技！胜利，千场,累计在跨服竞技场战斗中胜利1000场,achieve/5120.png,1,,4,402,407,1000,50,,,,,,,,,,
,402004,跨服竞技！五级,领取荣誉等级5的奖励,achieve/kuafuzhan.png,1,,4,402,405,5,10,,,,,,,,,,
,402005,跨服竞技！十级,领取荣誉等级10的奖励,achieve/kuafuzhan.png,1,,4,402,405,10,20,,,,,,,,,,
,402006,跨服竞技！十五级,领取荣誉等级15的奖励,achieve/kuafuzhan.png,2,,4,402,405,15,50,,,,,,,,,,
,402007,跨服竞技！二十级,领取荣誉等级20的奖励,achieve/kuafuzhan.png,2,,4,402,405,20,50,,,,,,,,,,
,402008,跨服竞技！三十级,领取荣誉等级30的奖励,achieve/kuafuzhan.png,3,,4,402,405,30,50,,,,,,,,,,
,402009,跨服竞技！四十级,领取荣誉等级40的奖励,achieve/kuafuzhan.png,3,,4,402,405,40,50,,,,,,,,,,
,402010,跨服竞技！五十级,领取荣誉等级50的奖励,achieve/kuafuzhan.png,4,,4,402,405,50,100,,,,,,,,,,
,402011,跨服竞技！六十级,领取荣誉等级60的奖励,achieve/kuafuzhan.png,4,,4,402,405,60,100,,,,,,,,,,
,402012,跨服竞技！七十级,领取荣誉等级70的奖励,achieve/kuafuzhan.png,5,,4,402,405,70,100,,,,,,,,,,
,402013,跨服竞技！八十级,领取荣誉等级80的奖励,achieve/kuafuzhan.png,5,,4,402,405,80,100,,,,,,,,,,
,402014,跨服竞技！九十级,领取荣誉等级90的奖励,achieve/kuafuzhan.png,6,,4,402,405,90,100,,,,,,,,,,
,402015,跨服竞技！一百级,领取荣誉等级100的奖励,achieve/kuafuzhan.png,6,,4,402,405,100,100,,,,,,,,,,
,402016,跨服竞技！第一,领取排名第一的奖励,achieve/kuafuzhan.png,7,,4,402,406,1,200,,,,,,,,,,
,402017,跨服竞技！第二,领取排名第二的奖励,achieve/kuafuzhan.png,6,,4,402,406,2,150,,,,,,,,,,
,402018,跨服竞技！第三,领取排名第三的奖励,achieve/kuafuzhan.png,6,,4,402,406,3,100,,,,,,,,,,
,402019,跨服竞技！第四,领取排名第四的奖励,achieve/kuafuzhan.png,5,,4,402,406,4,100,,,,,,,,,,
,402020,跨服竞技！第五,领取排名第五的奖励,achieve/kuafuzhan.png,5,,4,402,406,5,50,,,,,,,,,,
,402021,跨服竞技！前十,领取排名6~10的奖励,achieve/kuafuzhan.png,4,,4,402,406,10,50,,,,,,,,,,
,402022,跨服竞技！前二十,领取排名11~20的奖励,achieve/kuafuzhan.png,4,,4,402,406,20,20,,,,,,,,,,
,402023,跨服竞技！前五十,领取排名21~50的奖励,achieve/kuafuzhan.png,3,,4,402,406,50,20,,,,,,,,,,
,402024,跨服竞技！前一百,领取排名51~100的奖励,achieve/kuafuzhan.png,3,,4,402,406,100,20,,,,,,,,,,
,402025,跨服竞技！前五百,领取排名101~500的奖励,achieve/kuafuzhan.png,2,,4,402,406,500,10,,,,,,,,,,
,402026,跨服竞技！前一千,领取排名501~1000的奖励,achieve/kuafuzhan.png,2,,4,402,406,1000,10,,,,,,,,,,
,402027,跨服竞技！前两千,领取排名1001~2000的奖励,achieve/kuafuzhan.png,1,,4,402,406,2000,10,,,,,,,,,,
,501001,我有一个家,加入或创建一个公会,achieve/gonghui.png,1,,5,501,501,1,10,,,,,,,,,,
,501002,公会！二级,公会等级达到2级,achieve/gonghui.png,1,,5,501,501,2,10,,,,,,,,,,
,501003,公会！三级,公会等级达到3级,achieve/gonghui.png,2,,5,501,501,3,10,,,,,,,,,,
,501004,公会！四级,公会等级达到4级,achieve/gonghui.png,2,,5,501,501,4,10,,,,,,,,,,
,501005,公会！五级,公会等级达到5级,achieve/gonghui.png,3,,5,501,501,5,30,,,,,,,,,,
,501006,公会！六级,公会等级达到6级,achieve/gonghui.png,3,,5,501,501,6,30,,,,,,,,,,
,501007,公会！七级,公会等级达到7级,achieve/gonghui.png,4,,5,501,501,7,30,,,,,,,,,,
,501008,公会！八级,公会等级达到8级,achieve/gonghui.png,4,,5,501,501,8,30,,,,,,,,,,
,501009,公会！九级,公会等级达到9级,achieve/gonghui.png,5,,5,501,501,9,50,,,,,,,,,,
,501010,公会！十级,公会等级达到10级,achieve/gonghui.png,5,,5,501,501,10,50,,,,,,,,,,
,502001,公会！成员十人,公会成员达到10人,achieve/gonghui.png,2,,5,502,502,10,10,,,,,,,,,,
,502002,公会！成员二十人,公会成员达到20人,achieve/gonghui.png,3,,5,502,502,20,30,,,,,,,,,,
,502003,公会！成员三十人,公会成员达到30人,achieve/gonghui.png,4,,5,502,502,30,50,,,,,,,,,,
,503001,公会！BOSS战参与一次,参加1次公会BOSS战,demon/6230.png,1,,5,503,503,1,10,,,,,,,,,,
,503002,公会！BOSS战参与十次,参加10此公会BOSS战,demon/6230.png,2,,5,503,503,10,10,,,,,,,,,,
,503003,公会！BOSS战参与百次,参加100次公会BOSS战,demon/6230.png,3,,5,503,503,100,20,,,,,,,,,,
,503004,封印妖狐！一次,参加封印妖狐战斗1次,demon/6320.png,1,,5,503,504,100|1,10,,,,,,,,,,
,503005,封印妖狐！十次,参加封印妖狐战斗10次,demon/6320.png,2,,5,503,504,100|10,10,,,,,,,,,,
,503006,封印妖狐！百次,参加封印妖狐战斗100次,demon/6320.png,3,,5,503,504,100|100,20,,,,,,,,,,
,503007,封印妖狐！伤害第一,公会在封印妖狐战斗中伤害排名第一,demon/6320.png,7,,5,503,505,100|1,30,,,,,,,,,,
,503008,封印妖狐！伤害第二,公会在封印妖狐战斗中伤害排名第二,demon/6320.png,6,,5,503,505,100|2,20,,,,,,,,,,
,503009,封印妖狐！伤害第三,公会在封印妖狐战斗中伤害排名第三,demon/6320.png,5,,5,503,505,100|3,10,,,,,,,,,,
,503010,封印妖狐！最后一击,公会在封印妖狐战斗中获得了最后一击,demon/6320.png,5,,5,503,506,200,30,,,,,,,,,,
,503011,晋级！,参加1次公会战的战斗,demon/6230.png,1,,5,503,507,1,10,,,,,,,,,,
,503012,常客！,参加10次公会战的战斗,demon/6230.png,2,,5,503,507,10,10,,,,,,,,,,
,503013,无处不在,参加100次公会战的战斗,demon/6230.png,3,,5,503,507,100,20,,,,,,,,,,
,503014,This is Sparta！！,公会在公会战中排名第一,achieve/5113.png,7,,5,503,508,1,100,,,,,,,,,,
,503015,就差一步了！,公会在公会战中排名第二,achieve/5114.png,6,,5,503,508,2,50,,,,,,,,,,
,503016,还不错,公会在公会战中晋级四强,achieve/5115.png,5,,5,503,508,4,20,,,,,,,,,,
,503017,领袖光环,身为会长，公会战公会战中排名第一,skillicon/bati.png,7,,5,503,509,1,50,,,,,,,,,,
,601001,世界BOSS！,参加1次世界BOSS战,demon/6190.png,1,,6,601,601,1|1,10,,,,,,,,,,
,601002,世界BOSS！10次,参加10次世界BOSS战,demon/6190.png,2,,6,601,601,1|10,10,,,,,,,,,,
,601003,你怎么又来了？！,参加50次世界BOSS战,demon/6190.png,3,,6,601,601,1|50,20,,,,,,,,,,
,601004,放过我吧！,参加100次世界BOSS战,demon/6190.png,4,,6,601,601,1|100,30,,,,,,,,,,
,601005,伤害王者,在世界BOSS战中伤害排名第一,skillicon/4906.png,3,,6,601,602,1,50,,,,,,,4002,,,
,601006,还不错,在世界BOSS战中伤害排名前三,skillicon/102.png,4,,6,601,602,3,30,,,,,,,,,,
,601007,榜上有名,在世界BOSS战中伤害排名前十,skillicon/105.png,5,,6,601,602,10,10,,,,,,,,,,
,601008,幸运一击,给予世界BOSS“最后一击”,daily/4.png,6,,6,601,603,1,30,,,,,,,,,,
