备注,任务id,任务名称,接任务npcid,交任务npcid,任务完整描述,任务主分类,任务推荐等级,等级限制,任务图标,任务排序,章节ID,是否自动打开窗口,不可接任务对话ID,接任务对话id,已接任务对话id,交任务对话id,任务类型,完成条件key,完成条件count,数值1,数值2,数值3,前置任务id,后续任务id,任务是否可以放弃,不可接任务跟踪文本,任务跟踪可接文本,任务跟踪进行中文本,任务跟踪可交文本,完成任务广播频道,完成任务系统消息ID,奖励铜钱,奖励灵力,奖励威望,奖励经验,奖励物品通用,奖励物品职业1,奖励物品职业2,奖励物品职业3,奖励物品职业4,奖励任务ID,任务是否关闭,开启章节效果ID,自动寻路
,3009,追兵已至,600801,600801,打退追兵，离开兜率宫。,1,33,33,,3011,3,,,211,197,212,1,3008,1,,,,3008,3010,0,,去找{1#600801●齐天大圣}接受任务吧,通关{2#3008●脱身兜率},完成任务，去找{1#600801●齐天大圣}吧,,,8346,3338,,7800,,,,,,,,,1
,3010,此处何处,600801,600801,逃到南天门，打败驻守此地的巨灵神。,1,34,34,,3012,3,,708,213,197,214,1,3009,1,,,,3009,3011,0,请将人物等级提升至34级。,去找{1#600801●齐天大圣}接受任务吧,通关{2#3009●巨神临门},完成任务，去找{1#600801●齐天大圣}吧,,,866,346,,780,,,,,,,,,
,3011,迎敌而上,600801,600801,返身杀回，大闹天宫。,1,34,34,,3013,3,,,215,197,216,1,3010,1,,,,3010,3012,0,,去找{1#600801●齐天大圣}接受任务吧,通关{2#3010●天庭血路},完成任务，去找{1#600801●齐天大圣}吧,,,8970,3588,,7800,,,,,,,,,1
X,3012,腹背受敌,600801,600801,打败追击而来的守卫。,1,35,35,,3014,3,,709,218,197,219,1,3011,1,,,,3011,3013,0,请将人物等级提升至35级。,去找{1#600801●齐天大圣}接受任务吧,通关{2#3011●前后挟击},完成任务，去找{1#600801●齐天大圣}吧,,,9461,3784,,7950,,,,,,,,,1
广目,3013,广目天王,600801,600801,打败追击而来的天将和守卫。,1,35,35,,3015,3,,,220,197,221,1,3012,1,,,,3012,3014,0,,去找{1#600801●齐天大圣}接受任务吧,通关{2#3012●广目天王},完成任务，去找{1#600801●齐天大圣}吧,,,9779,3911,,7950,,,,,,,,,1
,3014,故地重游,600801,600801,随孙悟空来到蟠桃园外，打败园外巡守的天兵。,1,36,36,,3016,3,,710,222,197,223,1,3013,1,,,,3013,3015,0,请将人物等级提升至36级。,去找{1#600801●齐天大圣}接受任务吧,通关{2#3013●通园小径},完成任务，去找{1#600801●齐天大圣}吧,,,10287,4115,,8100,,,,,,,,,1
,3015,严阵以困,600801,600801,被天兵围困，分头试探。,1,36,36,,3017,3,,,224,197,225,1,3014,1,,,,3014,3016,0,,去找{1#600801●齐天大圣}接受任务吧,通关{2#3014●重重围堵},完成任务，去找{1#600801●齐天大圣}吧,,,10611,4244,,8100,,,,,,,,,1
,3016,哪吒三太子,600801,600801,打败三太子哪吒。,1,37,37,,3018,3,,711,226,197,227,1,3015,1,,,,3015,3017,0,请将人物等级提升至37级。,去找{1#600801●齐天大圣}接受任务吧,通关{2#3015●太子哪吒},完成任务，去找{1#600801●齐天大圣}吧,,,11138,4455,,8250,,,,,,,,,1
,3017,决心破阵,600801,600801,阵前叫战，寻方设法突破围阵。,1,37,37,,3019,3,,,228,197,229,1,3016,1,,,,3016,3018,0,,去找{1#600801●齐天大圣}接受任务吧,通关{2#3016●突破重围},完成任务，去找{1#600801●齐天大圣}吧,,,11468,4587,,8250,,,,,,,,,1
,3018,脱身自在,600801,600801,打破困局，准备回去花果山。,1,38,38,,3020,3,,712,230,197,231,1,3017,1,,,,3017,3019,0,请将人物等级提升至38级。,去找{1#600801●齐天大圣}接受任务吧,通关{2#3017●逃出生天},完成任务，去找{1#600801●齐天大圣}吧,,,12012,4805,,8400,,,,,,,,,1
,3019,意外受阻,600801,600801,被托塔天王李靖所拦，打败他。,1,38,38,,3021,3,,,232,197,233,1,3018,1,,,,3018,3020,0,,去找{1#600801●齐天大圣}接受任务吧,通关{2#3018●托塔天王},完成任务，去找{1#600801●齐天大圣}吧,,,12348,4939,,8400,,,,,,,,,1
,3020,拖延,600801,600801,奋战天兵，陷入拖延战术之中。,1,39,39,,3022,3,,713,234,197,235,1,3019,1,,,,3019,3021,0,请将人物等级提升至39级。,去找{1#600801●齐天大圣}接受任务吧,通关{2#3019●围困之兵},完成任务，去找{1#600801●齐天大圣}吧,,,12911,5164,,8550,,,,,,,,,1
,3021,二郎真君,600801,600802,与孙悟空分战二郎神的两个分身。,1,40,40,,3023,3,,714,236,197,237,1,3020,1,,,,3020,4001,0,请将人物等级提升至40级。,去找{1#600801●齐天大圣}接受任务吧,通关{2#3020●二郎真君},完成任务，去找{1#600802●觉因}吧,,,13253,5301,,8550,,,,,,,,1009,1
,4001,沧海桑田,600210,600210,与觉因对话，互叙五百年间的变化。,1,40,40,,4001,4,,,238,,239,2,,,,,,3021,4002,0,,去找{1#600210●觉因}接受任务吧,与{1#600210●觉因}对话,完成任务，去找{1#600210●觉因}吧,,,13833,5533,,8700,,,,,,,,,
,4002,西去之路,600210,600201,寻找唐僧，请他相救孙悟空。,1,40,40,,4002,4,,,240,241,242,1,4001,1,,,,4001,4003,0,,去找{1#600210●觉因}接受任务吧,通关{2#4001●崎岖山岭},完成任务，去找{1#600201●唐三藏}吧,,,1453,581,,870,,,,,,,,,1
,4003,五行山下,600201,600201,护送唐僧到五行山下见孙悟空。,1,40,40,,4003,4,,,243,244,245,1,4002,1,,,,4002,4004,0,,去找{1#600201●唐三藏}接受任务吧,通关{2#4002●五行山下},完成任务，去找{1#600201●唐三藏}吧,,,15134,6053,,8850,,,,,,,,,1
,4004,金字压帖,600201,600201,护送唐僧揭开金字压帖，将孙悟空救出。,1,41,41,,4004,4,,715,246,244,247,1,4003,1,,,,4003,4005,0,请将人物等级提升至41级。,去找{1#600201●唐三藏}接受任务吧,通关{2#4003●五行山顶},完成任务，去找{1#600201●唐三藏}吧,,,15488,6195,,8850,,,,,,,,,1
,4005,岭上劫盗,600201,600201,打败双叉岭沿途的劫盗。,1,41,41,,4005,4,,,248,244,249,1,4004,1,,,,4004,4006,0,,去找{1#600201●唐三藏}接受任务吧,通关{2#4004●双叉横桥},完成任务，去找{1#600201●唐三藏}吧,,,16110,6444,,9000,,,,,,,,,1
,4006,暗除劫盗,600202,600202,暗中打败双叉岭沿途的劫盗。,1,42,42,,4006,4,,716,250,251,252,1,4005,1,,,,4005,4007,0,请将人物等级提升至42级。,去找{1#600202●孙悟空}接受任务吧,通关{2#4005●拦路劫盗},完成任务，去找{1#600202●孙悟空}吧,,,16470,6588,,9000,,,,,,,,,1
,4007,匪类横行,600201,600201,前去探路。,1,42,42,,4007,4,,,253,254,255,1,4006,1,,,,4006,4008,0,,去找{1#600201●唐三藏}接受任务吧,通关{2#4006●横桥尽头},完成任务，去找{1#600201●唐三藏}吧,,,17111,6844,,9150,,,,,,,,,1
,4008,偏向险行,600202,600202,与孙悟空一同寻找虎精。,1,43,43,,4008,4,,717,256,257,258,1,4007,1,,,,4007,4009,0,请将人物等级提升至43级。,去找{1#600202●孙悟空}接受任务吧,通关{2#4007●岭上寻虎},完成任务，去找{1#600202●孙悟空}吧,,,17477,6991,,9150,,,,,,,,,1
,4009,虎皮衣裳,600202,600202,打败虎精。,1,43,43,,4009,4,,,259,260,261,1,4008,1,,,,4008,5001,0,,去找{1#600202●孙悟空}接受任务吧,通关{2#4008●力敌虎精},完成任务，去找{1#600202●孙悟空}吧,,,18135,7254,,9300,,,,,,,,,1
,5001,白马非马,600201,600201,发现唐三藏身边多了一匹白马。,1,44,44,,5001,5,,718,262,,263,2,,,,,,4009,5002,0,请将人物等级提升至44级。,去找{1#600201●唐三藏}接受任务吧,与{1#600201●唐三藏}对话,完成任务，去找{1#600201●唐三藏}吧,,,18507,7403,,9300,,,,,,,,,1
,5002,借处寻宿,600201,600201,沿路寻找是否有地方可以借宿。,1,44,44,,5002,5,,,264,,265,2,,,,,,5001,5003,0,,去找{1#600201●唐三藏}接受任务吧,与{1#600201●唐三藏}对话,完成任务，去找{1#600201●唐三藏}吧,,,1888,755,,930,,,,,,,,,1
,5003,山中古寺,600207,600201,与小女孩对话，得知附近有座寺院。,1,44,44,,5003,5,,,266,,267,2,,,,,,5002,5004,0,,去找{1#600207●小女孩}接受任务吧,与{1#600201●唐三藏}对话,完成任务，去找{1#600201●唐三藏}吧,,,1925,770,,930,,,,,,,,,1
,5003,山中古寺,600207,600201,与小女孩对话，得知附近有座寺院。,1,44,44,,5003,5,,,266,,267,2,,,,,,5002,5004,0,,去找{1#600207●小女孩}接受任务吧,与{1#600201●唐三藏}对话,完成任务，去找{1#600201●唐三藏}吧,,,1962,785,,930,,,,,,,,,1
,5004,暗生窃心,600202,600201,怀疑主持觊觎袈裟，立即去保护唐僧。,1,44,44,,5004,5,,,268,269,270,1,5001,1,,,,5003,5005,0,,去找{1#600202●孙悟空}接受任务吧,通关{2#5001●古刹禅房},完成任务，去找{1#600201●唐三藏}吧,,,20318,8127,,9450,,,,,,,,,1
,5005,祸从口出,600201,600201,受唐僧之命去寻找袈裟。,1,44,44,,5005,5,,,271,272,273,1,5002,1,,,,5004,5006,0,,去找{1#600201●唐三藏}接受任务吧,通关{2#5002●取回袈裟},完成任务，去找{1#600201●唐三藏}吧,,,20696,8278,,9450,,,,,,,,,1
,5006,佛寺藏妖,600202,600202,放观音寺中的妖怪逃走，暗访踪迹。,1,45,45,,5006,5,,719,274,275,276,1,5003,1,,,,5005,5007,0,请将人物等级提升至45级。,去找{1#600202●孙悟空}接受任务吧,通关{2#5003●翻查佛寺},完成任务，去找{1#600202●孙悟空}吧,,,21120,8448,,9600,,,,,,,,,1
,5007,顺藤摸瓜,600202,600202,循着方向找到妖怪的所在。,1,45,45,,5007,5,,,277,278,279,1,5004,1,,,,5006,5008,0,,去找{1#600202●孙悟空}接受任务吧,通关{2#5004●循迹追踪},完成任务，去找{1#600202●孙悟空}吧,,,21120,8448,,9600,,,,,,,,,1
,5008,锦襕袈裟,600201,600207,与小女孩对话，了解妖怪身份。,1,46,46,,5008,5,,720,280,281,282,2,,,,,,5007,5009,0,请将人物等级提升至46级。,去找{1#600201●唐三藏}接受任务吧,与{1#600207●小女孩}对话,完成任务，去找{1#600207●小女孩}吧,,,2112,845,,960,,,,,,,,,1
,5009,闭门不出,600201,600202,讨要袈裟，却吃了闭门羹，被拦在洞外。,1,46,46,,5009,5,,,283,284,285,1,5005,1,,,,5008,5010,0,,去找{1#600201●唐三藏}接受任务吧,通关{2#5005●追索袈裟},完成任务，去找{1#600202●孙悟空}吧,,,21450,8580,,9750,,,,,,,,,1
,5010,兵分两路,600202,600202,孙悟空使计入洞，仍被熊罴精逃走。,1,46,46,,5010,5,,,286,287,288,1,5006,1,,,,5009,5011,0,,去找{1#600202●孙悟空}接受任务吧,通关{2#5006●作势佯攻},完成任务，去找{1#600202●孙悟空}吧,,,21450,8580,,9750,,,,,,,,,1
,5011,叫阵黑风,600202,600202,洞前叫阵，打败熊罴精手下先锋。,1,47,47,,5011,5,,721,289,290,291,1,5007,1,,,,5010,5012,0,请将人物等级提升至47级。,去找{1#600202●孙悟空}接受任务吧,通关{2#5007●御前先锋},完成任务，去找{1#600202●孙悟空}吧,,,21780,8712,,9900,,,,,,,,,1
,5012,熊罴精,600202,600201,伪作熊罴精好友模样，制住它。,1,47,47,,5012,5,,,292,294,295,1,5008,1,,,,5011,6001,0,,去找{1#600202●孙悟空}接受任务吧,通关{2#5008●智斗熊精},完成任务，去找{1#600201●唐三藏}吧,,,21780,8712,,9900,,,,,,,,,1
,6001,荒野山庄,600201,600201,发现一处妖气弥漫的富余山庄。,1,48,48,,6001,6,,722,296,297,298,1,6001,1,,,,5012,6002,0,请将人物等级提升至48级。,去找{1#600201●唐三藏}接受任务吧,通关{2#6001●荒野山庄},完成任务，去找{1#600201●唐三藏}吧,,,22110,8844,,10050,,,,,,,,,1
,6002,深院遇敌,600202,600202,与孙悟空在后院闲逛，发现后院藏着一个人类女子。,1,48,48,,6002,6,,,299,300,301,1,6002,1,,,,6001,6003,0,,去找{1#600202●孙悟空}接受任务吧,通关{2#6002●黑雾深处},完成任务，去找{1#600202●孙悟空}吧,,,22110,8844,,10050,,,,,,,,,1
,6003,自招祸事,600201,600201,听说妖怪在云栈洞，前去探索。,1,49,49,,6003,6,,723,302,297,303,1,6003,1,,,,6002,6004,0,请将人物等级提升至49级。,去找{1#600201●唐三藏}接受任务吧,通关{2#6003●险洞寻妖},完成任务，去找{1#600201●唐三藏}吧,,,22440,8976,,10200,,,,,,,,,1
,6004,追寻妖踪,600201,600201,寻找猪妖，却未能得见其踪影。,1,49,49,,6004,6,,,304,297,305,1,6004,1,,,,6003,6005,0,,去找{1#600201●唐三藏}接受任务吧,通关{2#6004●幽暗所在},完成任务，去找{1#600201●唐三藏}吧,,,22440,8976,,10200,,,,,,,,,1
,6005,恰逢精锐,600202,600202,打入云栈洞内，遇到铁叉蝙蝠王。,1,50,50,,6005,6,,724,306,257,307,1,6005,1,,,,6004,6006,0,请将人物等级提升至50级。,去找{1#600202●孙悟空}接受任务吧,通关{2#6005●铁叉蝠王},完成任务，去找{1#600202●孙悟空}吧,,,22770,9108,,10350,,,,,,,,,1
,6006,回护山庄,600202,600202,回去高老庄保护庄内人士。,1,50,50,,6006,6,,,308,257,309,1,6006,1,,,,6005,6007,0,,去找{1#600202●孙悟空}接受任务吧,通关{2#6006●回护山庄},完成任务，去找{1#600202●孙悟空}吧,,,22770,9108,,10350,,,,,,,,,1
,6007,背后因由,600201,600201,赶走回高老庄企图掠走庄主女儿的猪妖。,1,51,51,,6007,6,,725,310,254,311,1,6007,1,,,,6006,6008,0,请将人物等级提升至51级。,去找{1#600201●唐三藏}接受任务吧,通关{2#6007●驱赶猪魔},完成任务，去找{1#600201●唐三藏}吧,,,23100,9240,,10500,,,,,,,,,1
,6008,藏身其间,600202,600202,将云栈洞闹了个底儿朝天。,1,51,51,,6008,6,,,312,313,314,1,6008,1,,,,6007,6009,0,,去找{1#600202●孙悟空}接受任务吧,通关{2#6008●大闹妖窟},完成任务，去找{1#600202●孙悟空}吧,,,23100,9240,,10500,,,,,,,,,1
,6009,终现其形,600202,600202,堵到猪妖，战胜其原形。,1,52,52,,6009,6,,726,315,257,316,1,6009,1,,,,6008,6010,0,请将人物等级提升至52级。,去找{1#600202●孙悟空}接受任务吧,通关{2#6009●负隅而抗},完成任务，去找{1#600202●孙悟空}吧,,,23430,9372,,10650,,,,,,,,,1
,6010,一涌而出,600202,600202,将负隅顽抗的小妖怪杀尽。,1,52,52,,6010,6,,,317,318,319,1,6010,1,,,,6009,6011,0,,去找{1#600202●孙悟空}接受任务吧,通关{2#6010●乌合之妖},完成任务，去找{1#600202●孙悟空}吧,,,23430,9372,,10650,,,,,,,,,1
,6011,纵火焚烧,600202,600202,将云栈洞一把火烧毁。,1,53,53,,6011,6,,727,320,257,321,1,6011,1,,,,6010,6012,0,请将人物等级提升至53级。,去找{1#600202●孙悟空}接受任务吧,通关{2#6011●四散而逃},完成任务，去找{1#600202●孙悟空}吧,,,23760,9504,,10800,,,,,,,,,1
,6012,降服猪妖,600201,600201,打败猪妖，得知他是观音菩萨派来，保护唐僧西去取经的。,1,53,53,,6012,6,,,322,257,323,1,6012,1,,,,6011,6013,0,,去找{1#600201●唐三藏}接受任务吧,通关{2#6012●降服猪妖},完成任务，去找{1#600201●唐三藏}吧,,,23760,9504,,10800,,,,,,,,,1
,6013,喜获新徒,600202,600202,猪妖拜唐僧为师，改名猪八戒。,1,54,54,,6013,6,,728,324,,325,2,,,,,,6012,7001,0,请将人物等级提升至54级。,去找{1#600202●孙悟空}接受任务吧,与{1#600202●孙悟空}对话,完成任务，去找{1#600202●孙悟空}吧,,,2376,950,,1080,,,,,,,,,1
,7001,行路闲语,600202,600210,向觉因打听黄风岭的消息。,1,54,54,,7001,7,,,326,,327,2,,,,,,6013,7002,0,,去找{1#600202●孙悟空}接受任务吧,与{1#600210●觉因}对话,完成任务，去找{1#600210●觉因}吧,,,2376,950,,1080,,,,,,,,,1
,7002,浑然不惧,600201,600201,打退拦路的妖怪们。,1,54,54,,7002,7,,,328,254,329,1,7001,1,,,,7001,7003,0,,去找{1#600201●唐三藏}接受任务吧,通关{2#7001●险峻山下},完成任务，去找{1#600201●唐三藏}吧,,,24090,9636,,10950,,,,,,,,,1
,7003,黄沙漫天,600202,600202,险些被风沙迷眼，打退妖怪，一路继续前行。,1,54,54,,7003,7,,,330,331,332,1,7002,1,,,,7002,7004,0,,去找{1#600202●孙悟空}接受任务吧,通关{2#7002●奇山妖风},完成任务，去找{1#600202●孙悟空}吧,,,24090,9636,,10950,,,,,,,,,1
,7004,黄沙迷眼,600202,600203,路遇虎妖，掠走了唐僧。,1,55,55,,7004,7,,729,333,318,334,1,7003,1,,,,7003,7005,0,请将人物等级提升至55级。,去找{1#600202●孙悟空}接受任务吧,通关{2#7003●威威虎息},完成任务，去找{1#600203●猪八戒}吧,,,24420,9768,,11100,,,,,,,,,1
,7005,借风而逃,600203,600202,在黄沙中寻找被掠走的唐僧。,1,55,55,,7005,7,,,335,336,337,1,7004,1,,,,7004,7006,0,,去找{1#600203●猪八戒}接受任务吧,通关{2#7004●风中寻影},完成任务，去找{1#600202●孙悟空}吧,,,24420,9768,,11100,,,,,,,,,1
,7006,偱风而至,600202,600202,顺着风中的气息找到黄风洞。,1,56,56,,7006,7,,730,338,318,339,1,7005,1,,,,7005,7007,0,请将人物等级提升至56级。,去找{1#600202●孙悟空}接受任务吧,通关{2#7005●妖门叫阵},完成任务，去找{1#600202●孙悟空}吧,,,24750,9900,,11250,,,,,,,,,1
,7007,再对虎先锋,600202,600202,打败虎先锋，但唐僧依然不知所踪。,1,56,56,,7007,7,,,340,341,342,1,7006,1,,,,7006,7008,0,,去找{1#600202●孙悟空}接受任务吧,通关{2#7006●掠杀之虎},完成任务，去找{1#600202●孙悟空}吧,,,24750,9900,,11250,,,,,,,,,1
,7008,引而不出,600203,600202,打败小妖，但被风沙压制，无法攻入洞中。,1,57,57,,7008,7,,731,343,344,345,1,7007,1,,,,7007,7009,0,请将人物等级提升至57级。,去找{1#600203●猪八戒}接受任务吧,通关{2#7007●黄沙掩目},完成任务，去找{1#600202●孙悟空}吧,,,25080,10032,,11400,,,,,,,,,1
,7009,定风神珠,600203,600210,向觉因求助如何制服妖怪。,1,57,57,,7009,7,,,346,,347,2,,,,,,7008,7010,0,,去找{1#600203●猪八戒}接受任务吧,与{1#600210●觉因}对话,完成任务，去找{1#600210●觉因}吧,,,2508,1003,,1140,,,,,,,,,1
,7010,有恃无恐,600202,600201,制服黄风怪，救出唐僧。,1,57,57,,7010,7,,,348,260,349,1,7008,1,,,,7009,8001,0,,去找{1#600202●孙悟空}接受任务吧,通关{2#7008●降服风怪},完成任务，去找{1#600201●唐三藏}吧,,,25080,10032,,11400,,,,,,,,,1
,8001,遇阻流沙,600201,600201,遇阻流沙河，听闻其中居住着吃人的妖怪。,1,58,58,,8001,8,,732,350,,351,2,,,,,,7010,8002,0,请将人物等级提升至58级。,去找{1#600201●唐三藏}接受任务吧,与{1#600201●唐三藏}对话,完成任务，去找{1#600201●唐三藏}吧,,,2508,1003,,1140,,,,,,,,,1
,8002,河水横天,600201,600202,探查河岸是否有船家可以借舟渡河。,1,58,58,,8002,8,,,352,257,353,1,8001,1,,,,8001,8003,0,,去找{1#600201●唐三藏}接受任务吧,通关{2#8001●恶水拦道},完成任务，去找{1#600202●孙悟空}吧,,,25410,10164,,11550,,,,,,,,,1
,8003,流沙八百里,600203,600202,意识到流沙河不可轻渡，决定找到妖怪令其开路过河。,1,58,58,,8003,8,,,354,331,355,1,8002,1,,,,8002,8004,0,,去找{1#600203●猪八戒}接受任务吧,通关{2#8002●寻妖渡河},完成任务，去找{1#600202●孙悟空}吧,,,25410,10164,,11550,,,,,,,,,1
,8004,找上门来,600201,600202,有鱼怪上岸袭击，将之打退。,1,59,59,,8004,8,,733,356,254,357,1,8003,1,,,,8003,8005,0,请将人物等级提升至59级。,去找{1#600201●唐三藏}接受任务吧,通关{2#8003●矮脚鱼精},完成任务，去找{1#600202●孙悟空}吧,,,25740,10296,,11700,,,,,,,,,1
,8005,大闹流沙河,600202,600202,下河寻找妖怪，遇到守门小兵，将之打败。,1,59,59,,8005,8,,,358,260,359,1,8004,1,,,,8004,8006,0,,去找{1#600202●孙悟空}接受任务吧,通关{2#8004●浑波涌浪},完成任务，去找{1#600202●孙悟空}吧,,,25740,10296,,11700,,,,,,,,,1
,8006,摩拳擦掌,600202,600202,找到河妖，但被其逃脱。,1,60,60,,8006,8,,734,360,257,361,1,8005,1,,,,8005,8007,0,请将人物等级提升至60级。,去找{1#600202●孙悟空}接受任务吧,通关{2#8005●搅乱河府},完成任务，去找{1#600202●孙悟空}吧,,,26070,10428,,11850,,,,,,,,,1
,8007,寻衅滋事,600202,600202,为了引出河妖，将其手下剿灭。,1,60,60,,8007,8,,,362,331,363,1,8006,1,,,,8006,8008,0,,去找{1#600202●孙悟空}接受任务吧,通关{2#8006●再诱河妖},完成任务，去找{1#600202●孙悟空}吧,,,26070,10428,,11850,,,,,,,,,1
,8008,何不去兮,600201,600203,疑惑河妖为何不肯弃河而逃，再次下河寻找河妖。,1,61,61,,8008,8,,735,364,254,365,1,8007,1,,,,8007,8009,0,请将人物等级提升至61级。,去找{1#600201●唐三藏}接受任务吧,通关{2#8007●入河寻妖},完成任务，去找{1#600203●猪八戒}吧,,,26400,10560,,12000,,,,,,,,,1
,8009,卷帘大将,600203,600201,打败河妖，原来河妖是观音菩萨派下护送唐僧往西天取经的徒弟沙悟净。,1,61,61,,8009,8,,,366,367,368,1,8008,1,,,,8008,9001,0,,去找{1#600203●猪八戒}接受任务吧,通关{2#8008●自投罗网},完成任务，去找{1#600201●唐三藏}吧,,,26400,10560,,12000,,,,,,,,,1
,9001,福地灵区,600201,600201,到达一处景色秀丽之地，远远看到一座观宇。,1,62,62,,9001,9,,736,369,,370,2,,,,,,8009,9002,0,请将人物等级提升至62级。,去找{1#600201●唐三藏}接受任务吧,与{1#600201●唐三藏}对话,完成任务，去找{1#600201●唐三藏}吧,,,2640,1056,,1200,,,,,,,,,1
,9002,故人之谊,600201,600202,猪八戒听清风明月提到人参果，怂恿众人前去偷拿。,1,62,62,,9002,9,,,371,372,373,1,9001,1,,,,9001,9003,0,,去找{1#600201●唐三藏}接受任务吧,通关{2#9001●棍打仙果},完成任务，去找{1#600202●孙悟空}吧,,,26730,10692,,12150,,,,,,,,,1
,9003,道房取物,600202,600202,去道房取金击子。,1,62,62,,9003,9,,,374,260,375,1,9002,1,,,,9002,9004,0,,去找{1#600202●孙悟空}接受任务吧,通关{2#9002●道房取物},完成任务，去找{1#600202●孙悟空}吧,,,26730,10692,,12150,,,,,,,,,1
,9004,入地不见,600202,600208,找土地老儿询问为何人参果坠地不见。,1,63,63,,9004,9,,737,376,,377,2,,,,,,9003,9005,0,请将人物等级提升至63级。,去找{1#600202●孙悟空}接受任务吧,与{1#600208●土地老儿}对话,完成任务，去找{1#600208●土地老儿}吧,,,2673,1069,,1215,,,,,,,,,1
,9005,几经周折,600202,600202,打到人参果，决定一起分享。,1,63,63,,9005,9,,,378,318,379,1,9003,1,,,,9004,9006,0,,去找{1#600202●孙悟空}接受任务吧,通关{2#9003●妙手取宝},完成任务，去找{1#600202●孙悟空}吧,,,27060,10824,,12300,,,,,,,,,1
,9006,分食仙果,600202,600202,与沙悟净一起把人参果分食。,1,63,63,,9006,9,,,380,,381,2,,,,,,9005,9007,0,,去找{1#600202●孙悟空}接受任务吧,与{1#600202●孙悟空}对话,完成任务，去找{1#600202●孙悟空}吧,,,2706,1082,,1230,,,,,,,,,1
,9007,听者有心,600201,600201,被唐三藏叫走，与清风明月对峙人参果之事。,1,63,63,,9007,9,,,382,383,384,1,9004,1,,,,9006,9008,0,,去找{1#600201●唐三藏}接受任务吧,通关{2#9004●对峙园中},完成任务，去找{1#600201●唐三藏}吧,,,27060,10824,,12300,,,,,,,,,1
,9008,毁去仙树,600203,600203,毁去人参果树。,1,64,64,,9008,9,,738,385,386,387,1,9005,1,,,,9007,9009,0,请将人物等级提升至64级。,去找{1#600203●猪八戒}接受任务吧,通关{2#9005●毁树除根},完成任务，去找{1#600203●猪八戒}吧,,,27390,10956,,12450,,,,,,,,,1
,9009,守树之灵,600202,600202,毁去人参果树后，园中精怪一一现身，打败他们。,1,64,64,,9009,9,,,388,318,389,1,9006,1,,,,9008,9010,0,,去找{1#600202●孙悟空}接受任务吧,通关{2#9006●斩尽树灵},完成任务，去找{1#600202●孙悟空}吧,,,27390,10956,,12450,,,,,,,,,1
,9010,追兵已至,600201,600201,叫上唐三藏一起离开五庄观。,1,65,65,,9010,9,,739,390,318,391,1,9007,1,,,,9009,9011,0,请将人物等级提升至65级。,去找{1#600201●唐三藏}接受任务吧,通关{2#9007●匆匆而逃},完成任务，去找{1#600201●唐三藏}吧,,,27720,11088,,12600,,,,,,,,,1
,9011,与世同君,600201,600202,被镇元子假身追上，打败假身后，被真身抓走。,1,65,65,,9011,9,,,392,383,393,1,9008,1,,,,9010,9012,0,,去找{1#600201●唐三藏}接受任务吧,通关{2#9008●镇元大仙},完成任务，去找{1#600202●孙悟空}吧,,,27720,11088,,12600,,,,,,,,,1
,9012,脱身无路,600201,600201,想办法复活人参果树。,1,66,66,,9012,9,,740,394,,395,2,,,,,,9011,9013,0,请将人物等级提升至66级。,去找{1#600201●唐三藏}接受任务吧,与{1#600201●唐三藏}对话,完成任务，去找{1#600201●唐三藏}吧,,,2772,1109,,1260,,,,,,,,,1
,9013,因缘际会,600210,600202,找觉因借来甘露之水复活人参果树。,1,66,66,,9013,9,,,396,,397,2,,,,,,9012,10001,0,,去找{1#600210●觉因}接受任务吧,与{1#600210●觉因}对话,完成任务，去找{1#600202●孙悟空}吧,,,2772,1109,,1260,,,,,,,,,1
,10001,阴风阵阵,600201,600201,妖雾弥漫，发现前路有成堆已成精的尸骨。,1,66,66,,10001,10,,,483,297,484,1,10001,1,,,,9013,10002,0,,去找{1#600201●唐三藏}接受任务吧,通关{2#10001●森然之地},完成任务，去找{1#600201●唐三藏}吧,,,28050,11220,,12750,,,,,,,,,1
,10002,废弃古宅,600201,600201,发现一座阴森古宅，进入其中休息。,1,66,66,,10002,10,,,485,244,486,1,10002,1,,,,10001,10003,0,,去找{1#600201●唐三藏}接受任务吧,通关{2#10002●白骨废庄},完成任务，去找{1#600201●唐三藏}吧,,,28050,11220,,12750,,,,,,,,,1
,10003,鬼气森森,600201,600201,清扫古宅中潜伏的妖怪精鬼。,1,67,67,,10003,10,,741,487,257,488,1,10003,1,,,,10002,10004,0,请将人物等级提升至67级。,去找{1#600201●唐三藏}接受任务吧,通关{2#10003●度化魂灵},完成任务，去找{1#600201●唐三藏}吧,,,28380,11352,,12900,,,,,,,,,1
,10004,嘤嘤哭声,600201,600202,唐僧听到女子哭声，随之而不见影踪。,1,67,67,,10004,10,,,489,,490,2,,,,,,10003,10005,0,,去找{1#600201●唐三藏}接受任务吧,与{1#600202●孙悟空}对话,完成任务，去找{1#600202●孙悟空}吧,,,2838,1135,,1290,,,,,,,,,1
,10005,别有洞天,600202,600202,打破山庄地板，发现庄下另有洞天。,1,67,67,,10005,10,,,491,300,492,1,10004,1,,,,10004,10006,0,,去找{1#600202●孙悟空}接受任务吧,通关{2#10004●破土寻踪},完成任务，去找{1#600202●孙悟空}吧,,,28380,11352,,12900,,,,,,,,,1
