策划备注名,副本ID,副本名,描述,章节ID,城镇ID,首关卡ID,背景图,类型,进入等级限制(≥可进入）,进入副本限制,（废弃）任务需求,体力消耗,离线挂机时间,副本组队时间,秒挂机花费（金币）,铜钱奖励,经验奖励,灵力奖励,法宝晶石,首次获得,物品奖励,副本掉落,掉落展示,妖魂亲密度奖励,翻牌品质1掉落组,翻牌品质1数量,翻牌每个品质1权重,翻牌品质2掉落组,翻牌品质2数量,翻牌每个品质2权重,翻牌品质3掉落组,翻牌品质3数量,翻牌每个品质3权重,翻牌价格,显血条BOSS,结束boss,时间得分,血量得分,连斩得分,伤害得分,boss单管血量,购买价格,关底boss限时
,id,name,desc,chapter_id,town_id,first_scene,pic,type,unlock_level,unlock_dungeon,unlock_task,action_expend,hang_time,team_time,hang_gold,cop_reward,exp_reward,wakan_reward,talisman_chip_reward,first_item_reward,item_reward,dungeon_drop,drop_show,intimacy_demon,cards1_drop,cards1_num,every_cards1_weight,cards2_drop,cards2_num,every_cards2_weight,cards3_drop,cards3_num,every_cards3_weight,cards_price,last_boss,finish_boss,time_score,hp_score,combo_score,hurt_score,hp_boss,num_gold_price,finish_boss_limit_time
,9008,镇元大仙,[C]0xffcc00[/C]金币[C/][BR][C]0x00B091[/C]星石[BR]斗魂贡品[C/]等,9,2,900801,9008,1,65,9007,,5,300,1800,10,2100,840,756,,1001000|5,,,,50,,,,,,,,,,,900891,900891,90,0.5,100,0.25,20000,,
,10001,森然之地,[C]0xffcc00[/C]金币[C/][BR][C]0x00B092[/C]星石[BR]斗魂贡品[C/]等,10,2,1000101,10001,1,66,9008,,5,300,1800,10,2125,850,765,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,10002,白骨废庄,[C]0xffcc00[/C]金币[C/][BR][C]0x00B093[/C]星石[BR]斗魂贡品[C/]等,10,2,1000201,10002,1,66,10001,,5,300,1800,10,2125,850,765,,1001000|5,,,,50,,,,,,,,,,,1000271,1000271,90,0.5,100,0.25,20000,,
,10003,度化魂灵,[C]0xffcc00[/C]金币[C/][BR][C]0x00B094[/C]星石[BR]斗魂贡品[C/]等,10,2,1000301,10003,1,67,10002,,5,300,1800,10,2150,860,774,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,10004,破土寻踪,[C]0xffcc00[/C]金币[C/][BR][C]0x00B095[/C]星石[BR]斗魂贡品[C/]等,10,2,1000401,10004,1,67,10003,,5,300,1800,10,2150,860,774,,1001000|5,,,,50,,,,,,,,,,,1000471,1000471,90,0.5,100,0.25,20000,,
,10005,窃窃哭声,[C]0xffcc00[/C]金币[C/][BR][C]0x00B096[/C]星石[BR]斗魂贡品[C/]等,10,2,1000501,10005,1,68,10004,,5,300,1800,10,2175,870,783,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,10006,寒境幽深,[C]0xffcc00[/C]金币[C/][BR][C]0x00B097[/C]星石[BR]斗魂贡品[C/]等,10,2,1000601,10006,1,68,10005,,5,300,1800,10,2175,870,783,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,10007,鬼影现形,[C]0xffcc00[/C]金币[C/][BR][C]0x00B098[/C]星石[BR]斗魂贡品[C/]等,10,2,1000701,10007,1,69,10006,,5,300,1800,10,2200,880,792,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,10008,白骨夫人,[C]0xffcc00[/C]金币[C/][BR][C]0x00B099[/C]星石[BR]斗魂贡品[C/]等,10,2,1000801,10008,1,69,10007,,5,300,1800,10,2200,880,792,,1001000|5,,,,50,,,,,,,,,,,1000891,1000891,90,0.5,100,0.25,20000,,
,11001,忧心前路,[C]0xffcc00[/C]金币[C/][BR][C]0x00B100[/C]星石[BR]斗魂贡品[C/]等,11,3,1100101,11001,1,70,10008,,5,300,1800,10,2225,890,801,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,11002,一探宝塔,[C]0xffcc00[/C]金币[C/][BR][C]0x00B101[/C]星石[BR]斗魂贡品[C/]等,11,3,1100201,11002,1,70,11001,,5,300,1800,10,2225,890,801,,1001000|5,,,,50,,,,,,,,,,,1100271,1100271,90,0.5,100,0.25,20000,,
,11003,相救唐僧,[C]0xffcc00[/C]金币[C/][BR][C]0x00B102[/C]星石[BR]斗魂贡品[C/]等,11,3,1100301,11003,1,71,11002,,5,300,1800,10,2250,900,810,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,11004,居后掠阵,[C]0xffcc00[/C]金币[C/][BR][C]0x00B103[/C]星石[BR]斗魂贡品[C/]等,11,3,1100401,11004,1,71,11003,,5,300,1800,10,2250,900,810,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,11005,回援沙僧,[C]0xffcc00[/C]金币[C/][BR][C]0x00B104[/C]星石[BR]斗魂贡品[C/]等,11,3,1100501,11005,1,72,11004,,5,300,1800,10,2275,910,819,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,11006,殷勤相嘱,[C]0xffcc00[/C]金币[C/][BR][C]0x00B105[/C]星石[BR]斗魂贡品[C/]等,11,3,1100601,11006,1,72,11005,,5,300,1800,10,2275,910,819,,1001000|5,,,,50,,,,,,,,,,,1100671,1100671,90,0.5,100,0.25,50000,,
,11007,联袂而作,[C]0xffcc00[/C]金币[C/][BR][C]0x00B106[/C]星石[BR]斗魂贡品[C/]等,11,3,1100701,11007,1,73,11006,,5,300,1800,10,2300,920,828,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,11008,奎木星宿,[C]0xffcc00[/C]金币[C/][BR][C]0x00B107[/C]星石[BR]斗魂贡品[C/]等,11,3,1100801,11008,1,73,11007,,5,300,1800,10,2300,920,828,,1001000|5,,,,50,,,,,,,,,,,1100891,1100891,90,0.5,100,0.25,50000,,
,12001,暗随八戒,[C]0xffcc00[/C]金币[C/][BR][C]0x00B108[/C]星石[BR]斗魂贡品[C/]等,12,3,1200101,12001,1,74,11008,,5,300,1800,10,2325,930,837,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,12002,路寻木母,[C]0xffcc00[/C]金币[C/][BR][C]0x00B109[/C]星石[BR]斗魂贡品[C/]等,12,3,1200201,12002,1,74,12001,,5,300,1800,10,2325,930,837,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,12003,驱逐群妖,[C]0xffcc00[/C]金币[C/][BR][C]0x00B110[/C]星石[BR]斗魂贡品[C/]等,12,3,1200301,12003,1,75,12002,,5,300,1800,10,2350,940,846,,1001000|5,,,,50,,,,,,,,,,,1200371,1200371,90,0.5,100,0.25,50000,,
,12004,莲花洞窟,[C]0xffcc00[/C]金币[C/][BR][C]0x00B111[/C]星石[BR]斗魂贡品[C/]等,12,3,1200401,12004,1,75,12003,,5,300,1800,10,2350,940,846,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,12005,斩获法宝,[C]0xffcc00[/C]金币[C/][BR][C]0x00B112[/C]星石[BR]斗魂贡品[C/]等,12,3,1200501,12005,1,76,12004,,5,300,1800,10,2375,950,855,,1001000|5,,,,50,,,,,,,,,,,1200571,1200571,90,0.5,100,0.25,50000,,
,12006,改装易容,[C]0xffcc00[/C]金币[C/][BR][C]0x00B113[/C]星石[BR]斗魂贡品[C/]等,12,3,1200601,12006,1,76,12005,,5,300,1800,10,2375,950,855,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,12007,潜入妖穴,[C]0xffcc00[/C]金币[C/][BR][C]0x00B114[/C]星石[BR]斗魂贡品[C/]等,12,3,1200701,12007,1,77,12006,,5,300,1800,10,2400,960,864,,1001000|5,,,,50,,,,,,,,,,,1200771,1200771,90,0.5,100,0.25,50000,,
,12008,劫掠净瓶,[C]0xffcc00[/C]金币[C/][BR][C]0x00B115[/C]星石[BR]斗魂贡品[C/]等,12,3,1200801,12008,1,77,12007,,5,300,1800,10,2400,960,864,,1001000|5,,,,50,,,,,,,,,,,1200871,1200871,90,0.5,100,0.25,50000,,
,12009,听风得讯,[C]0xffcc00[/C]金币[C/][BR][C]0x00B116[/C]星石[BR]斗魂贡品[C/]等,12,3,1200901,12009,1,78,12008,,5,300,1800,10,2425,970,873,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,12010,杀妖取宝,[C]0xffcc00[/C]金币[C/][BR][C]0x00B117[/C]星石[BR]斗魂贡品[C/]等,12,3,1201001,12010,1,78,12009,,5,300,1800,10,2425,970,873,,1001000|5,,,,50,,,,,,,,,,,1201091,1201091,90,0.5,100,0.25,50000,,
,12011,灭绝群妖,[C]0xffcc00[/C]金币[C/][BR][C]0x00B118[/C]星石[BR]斗魂贡品[C/]等,12,3,1201101,12011,1,79,12010,,5,300,1800,10,2450,980,882,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,12012,临危生变,[C]0xffcc00[/C]金币[C/][BR][C]0x00B119[/C]星石[BR]斗魂贡品[C/]等,12,3,1201201,12012,1,79,12011,,5,300,1800,10,2450,980,882,,1001000|5,,,,50,,,,,,,,,,,1201291,1201291,90,0.5,100,0.25,50000,,
,12013,扫退追兵,[C]0xffcc00[/C]金币[C/][BR][C]0x00B120[/C]星石[BR]斗魂贡品[C/]等,12,3,1201301,12013,1,80,12012,,5,300,1800,10,2475,990,891,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,12014,智取银角,[C]0xffcc00[/C]金币[C/][BR][C]0x00B121[/C]星石[BR]斗魂贡品[C/]等,12,3,1201401,12014,1,80,12013,,5,300,1800,10,2475,990,891,,1001000|5,,,,50,,,,,,,,,,,1201491,1201491,90,0.5,100,0.25,50000,,
,12015,解救唐僧,[C]0xffcc00[/C]金币[C/][BR][C]0x00B122[/C]星石[BR]斗魂贡品[C/]等,12,3,1201501,12015,1,81,12014,,5,300,1800,10,2500,1000,900,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,12016,金银同归,[C]0xffcc00[/C]金币[C/][BR][C]0x00B123[/C]星石[BR]斗魂贡品[C/]等,12,3,1201601,12016,1,81,12015,,5,300,1800,10,2500,1000,900,,1001000|5,,,,50,,,,,,,,,,,1201691,1201691,90,0.5,100,0.25,50000,,
,13001,皇城谜梦,[C]0xffcc00[/C]金币[C/][BR][C]0x00B124[/C]星石[BR]斗魂贡品[C/]等,13,3,1300101,13001,1,82,12016,,5,300,1800,10,2525,1010,909,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,13002,扰乱护卫,[C]0xffcc00[/C]金币[C/][BR][C]0x00B125[/C]星石[BR]斗魂贡品[C/]等,13,3,1300201,13002,1,82,13001,,5,300,1800,10,2525,1010,909,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,13003,闲人东引,[C]0xffcc00[/C]金币[C/][BR][C]0x00B126[/C]星石[BR]斗魂贡品[C/]等,13,3,1300301,9002,1,83,13002,,5,300,1800,10,2550,1020,918,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,13004,园内寻尸,[C]0xffcc00[/C]金币[C/][BR][C]0x00B127[/C]星石[BR]斗魂贡品[C/]等,13,3,1300401,9001,1,83,13003,,5,300,1800,10,2550,1020,918,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,13005,四处搜索,[C]0xffcc00[/C]金币[C/][BR][C]0x00B128[/C]星石[BR]斗魂贡品[C/]等,13,3,1300501,13002,1,84,13004,,5,300,1800,10,2575,1030,927,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,13006,井下玄机,[C]0xffcc00[/C]金币[C/][BR][C]0x00B129[/C]星石[BR]斗魂贡品[C/]等,13,3,1300601,13006,1,84,13005,,5,300,1800,10,2575,1030,927,,1001000|5,,,,50,,,,,,,,,,,1300671,1300671,90,0.5,100,0.25,50000,,
,13007,避而疾走,[C]0xffcc00[/C]金币[C/][BR][C]0x00B130[/C]星石[BR]斗魂贡品[C/]等,13,3,1300701,13007,1,85,13006,,5,300,1800,10,2600,1040,936,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,13008,打退亲军,[C]0xffcc00[/C]金币[C/][BR][C]0x00B131[/C]星石[BR]斗魂贡品[C/]等,13,3,1300801,13008,1,85,13007,,5,300,1800,10,2600,1040,936,,1001000|5,,,,50,,,,,,,,,,,1300871,1300871,90,0.5,100,0.25,50000,,
,13009,破石碎阵,[C]0xffcc00[/C]金币[C/][BR][C]0x00B132[/C]星石[BR]斗魂贡品[C/]等,13,3,1300901,13009,1,86,13008,,5,300,1800,10,2625,1050,945,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,13010,青狮道人,[C]0xffcc00[/C]金币[C/][BR][C]0x00B133[/C]星石[BR]斗魂贡品[C/]等,13,3,1301001,13010,1,86,13009,,5,300,1800,10,2625,1050,945,,1001000|5,,,,50,,,,,,,,,,,1301091,1301091,90,0.5,100,0.25,50000,,
,13011,怒杀回殿,[C]0xffcc00[/C]金币[C/][BR][C]0x00B134[/C]星石[BR]斗魂贡品[C/]等,13,3,1301101,13011,1,87,13010,,5,300,1800,10,2650,1060,954,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,13012,斩妖除魔,[C]0xffcc00[/C]金币[C/][BR][C]0x00B135[/C]星石[BR]斗魂贡品[C/]等,13,3,1301201,13012,1,87,13011,,5,300,1800,10,2650,1060,954,,1001000|5,,,,50,,,,,,,,,,,1301291,1301291,90,0.5,100,0.25,50000,,
,14001,红云疑窦,[C]0xffcc00[/C]金币[C/][BR][C]0x00B136[/C]星石[BR]斗魂贡品[C/]等,14,3,1400101,14001,1,88,13012,,5,300,1800,10,2675,1070,963,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,14002,妖踪何处,[C]0xffcc00[/C]金币[C/][BR][C]0x00B137[/C]星石[BR]斗魂贡品[C/]等,14,3,1400201,14002,1,88,14001,,5,300,1800,10,2675,1070,963,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,14003,循向而寻,[C]0xffcc00[/C]金币[C/][BR][C]0x00B138[/C]星石[BR]斗魂贡品[C/]等,14,3,1400301,14003,1,89,14002,,5,300,1800,10,2700,1080,972,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,14004,枯松涧下,[C]0xffcc00[/C]金币[C/][BR][C]0x00B139[/C]星石[BR]斗魂贡品[C/]等,14,3,1400401,14004,1,89,14003,,5,300,1800,10,2700,1080,972,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,50000,,
,14005,叫阵妖王,[C]0xffcc00[/C]金币[C/][BR][C]0x00B140[/C]星石[BR]斗魂贡品[C/]等,14,3,1400501,14005,1,90,14004,,5,300,1800,10,2725,1090,981,,1001000|5,,,,50,,,,,,,,,,,1400591,1400591,90,0.5,100,0.25,50000,,
,14006,退避真火,[C]0xffcc00[/C]金币[C/][BR][C]0x00B141[/C]星石[BR]斗魂贡品[C/]等,14,3,1400601,14006,1,90,14005,,5,300,1800,10,2725,1090,981,,1001000|5,,,,50,,,,,,,,,,,1400671,1400671,90,0.5,100,0.25,50000,,
,14007,求助龙雨,[C]0xffcc00[/C]金币[C/][BR][C]0x00B142[/C]星石[BR]斗魂贡品[C/]等,14,3,1400701,14007,1,91,14006,,5,300,1800,10,2750,1100,990,,1001000|5,,,,50,,,,,,,,,,,1400771,1400771,90,0.5,100,0.25,50000,,
,14008,乘隙得偿,[C]0xffcc00[/C]金币[C/][BR][C]0x00B143[/C]星石[BR]斗魂贡品[C/]等,14,3,1400801,14008,1,91,14007,,5,300,1800,10,2750,1100,990,,1001000|5,,,,50,,,,,,,,,,,1400891,1400891,90,0.5,100,0.25,50000,,
