S=19 A=1 B=2 C=3 Z=26   资源名+动作名=技能名,技能ID,技能名,描述 0基础伤害 1物攻% 2技攻% 3法攻% ,图标,小图标,类型,CD时间,动作动画,额外数据ID,升级价格,血消耗,元气消耗,无双消耗,战意消耗,法宝消耗,显示用伤害段,伤害1段 类型,伤害1段 数值,伤害2段 类型,伤害2段 数值,伤害3段 类型,伤害3段 数值,伤害4段 类型,伤害4段 数值,伤害5段 类型,伤害5段 数值,伤害6段 类型,伤害6段 数值,伤害7段 类型,伤害7段 数值,伤害8段 类型,伤害8段 数值
雨伞转转转,1000417,宝伞天旋,召唤宝伞，袭出旋回，来往间对敌人造成伤害。,skillicon/4143.png,skillicon/4143_small.png,2,3,17,,,,,,,,0|0~0.6333|0.0211~0|0~0|0,1,0|0~0.6333|0.0211~0|0~0|0,1,0|0~0.6333|0.0211~0|0~0|0,,,,,,,,,,,,
雨伞原地转转转,1000418,华盖倾覆,手持宝伞，张开华盖，轮转所覆之地，对敌人造成伤害。,skillicon/4903.png,skillicon/4903_small.png,2,3,18,,,,,,,,0|0~0.6333|0.0211~0|0~0|0,1,0|0~0.6333|0.0211~0|0~0|0,1,0|0~0.6333|0.0211~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000610,哪吒普攻,哪吒普攻,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,1000616,炎染乾坤,乾坤圈赤炎燃烧，所到之地遍生野火。,skillicon/4011.png,skillicon/4011_small.png,2,3,16,,,,,,,,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,,,,,,,,,,,,
,1000617,三头六臂,身现金光，展三头六臂，呈不败之势，对周身敌人造成伤害。,skillicon/4012.png,skillicon/4012_small.png,2,3,17,,,,,,,,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,,,,,,,,,,,,
,1000618,烈焰红缨,火尖枪直刺而出，带起身后一地烈焰，对敌人造成伤害。,skillicon/4013.png,skillicon/4013_small.png,2,3,18,,,,,,,,0|0~0.6|0.02~0|0~0|0,1,0|0~0.6|0.02~0|0~0|0,1,0|0~0.6|0.02~0|0~0|0,,,,,,,,,,,,
,1000619,破军以火,火尖枪上扬而去，大开大阖，勾挑三角之势攻击敌人。,skillicon/4014.png,skillicon/4014_small.png,2,3,19,,,,,,,,0|0~0.7286|0.0243~0|0~0|0,1,0|0~0.7286|0.0243~0|0~0|0,1,0|0~0.7286|0.0243~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000516,巨灵神技能1,巨灵神技能1,skillicon/11.png,skillicon/11.png,2,3,16,,,,,,,,0|0~4|0.01~0|0~0|0,1,0|0~4|0.01~0|0~0|0,1,0|0~4|0.01~0|0~0|0,,,,,,,,,,,,
,1000510,巨灵神普攻1,巨灵神普攻1,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~4|0.01~0|0~0|0,1,0|0~4|0.01~0|0~0|0,1,0|0~4|0.01~0|0~0|0,,,,,,,,,,,,
,1000517,巨灵神技能2,巨灵神技能2,skillicon/11.png,skillicon/11.png,2,3,17,,,,,,,,0|0~4|0.01~0|0~0|0,1,0|0~4|0.01~0|0~0|0,1,0|0~4|0.01~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000710,李靖普攻,,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0.01~0|0~0|0,1,0|0~1|0.01~0|0~0|0,1,0|0~1|0.01~0|0~0|0,,,,,,,,,,,,
,1000716,剑光斩,抽取腰间宝剑快速连续挥击两次，以剑光攻击敌人。,skillicon/4901.png,skillicon/4901_small.png,2,3,16,,,,,,,,0|0~0.7286|0.0243~0|0~0|0,1,0|0~0.7286|0.0243~0|0~0|0,1,0|0~0.7286|0.0243~0|0~0|0,,,,,,,,,,,,
,1000717,玲珑景,以法印显映玲珑宝塔之本相，使其自天而降压制敌人。,skillicon/4907.png,skillicon/4907_small.png,2,3,17,,,,,,,,0|0~0.5727|0.0191~0|0~0|0,1,0|0~0.5727|0.0191~0|0~0|0,1,0|0~0.5727|0.0191~0|0~0|0,,,,,,,,,,,,
,1000718,浮屠劫,佛塔悬空，光华四散，形成光柱普度环绕众生，所触之敌皆受到伤害。,skillicon/4142.png,skillicon/4142_small.png,2,3,18,,,,,,,,0|0~0.4875|0.0163~0|0~0|0,1,0|0~0.4875|0.0163~0|0~0|0,1,0|0~0.4875|0.0163~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000810,寅将军普攻1,,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,1000811,寅将军普攻2,,skillicon/11.png,skillicon/11.png,2,3,11,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
前冲,1000816,狂肆之爪,挥击双臂利爪，前扑连续攻击五次，划出连番血影攻击敌人。,skillicon/4051.png,skillicon/4051_small.png,2,3,16,,,,,,,,0|0~0.5727|0.0191~0|0~0|0,1,0|0~0.5727|0.0191~0|0~0|0,1,0|0~0.5727|0.0191~0|0~0|0,,,,,,,,,,,,
空中连续技,1000817,碎空之爪,挥击两臂利爪，腾空连续攻击数次，以坠地之势撕裂敌人。,skillicon/4908.png,skillicon/4908_small.png,2,3,17,,,,,,,,0|0~0.6|0.02~0|0~0|0,1,0|0~0.6|0.02~0|0~0|0,1,0|0~0.6|0.02~0|0~0|0,,,,,,,,,,,,
斜向上电磁炮,1000818,血煞之爪,利爪沾血，斜指苍天，脚下结印涌出滔天血色冲向敌人造成伤害。,skillicon/4054.png,skillicon/4054_small.png,2,3,18,,,,,,,,0|0~0.4765|0.0159~0|0~0|0,1,0|0~0.4765|0.0159~0|0~0|0,1,0|0~0.4765|0.0159~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000916,猪魔技能1,向前冲接上条,skillicon/11.png,skillicon/11.png,2,3,16,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,1000917,猪魔技能2,原地自爆,skillicon/11.png,skillicon/11.png,2,3,17,,,,,,,,0|0~1.4|0.01~0|0~0|0,1,0|0~1.4|0.01~0|0~0|0,1,0|0~1.4|0.01~0|0~0|0,,,,,,,,,,,,
,1000918,猪魔技能3,变身会猪刚鬛,skillicon/11.png,skillicon/11.png,2,3,18,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1001010,熊罴怪普攻1,,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,1001011,熊罴怪普攻2,,skillicon/11.png,skillicon/11.png,2,3,11,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
三连砍,1001016,三板斧,威势通天，三招已是足够，三斧连击，劈山裂地。,skillicon/105.png,skillicon/105_small.png,2,3,16,,,,,,,,0|0~0.81|0.027~0|0~0|0,1,0|0~0.81|0.027~0|0~0|0,1,0|0~0.81|0.027~0|0~0|0,,,,,,,,,,,,
跳起震地,1001017,枕泰山,纵身一跃以泰山之重将敌人压于身下造成伤害。,skillicon/4910.png,skillicon/4910_small.png,2,3,17,,,,,,,,0|0~1.03|0.0343~0|0~0|0,1,0|0~1.03|0.0343~0|0~0|0,1,0|0~1.03|0.0343~0|0~0|0,,,,,,,,,,,,
N连砍,1001018,旋风斩,连番挥舞双斧，旋风连携而起造成伤害。,skillicon/4062.png,skillicon/4062_small.png,2,3,18,,,,,,,,0|0~0.5143|0.0171~0|0~0|0,1,0|0~0.5143|0.0171~0|0~0|0,1,0|0~0.5143|0.0171~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1001110,黄风怪普攻,,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
吹出个旋风,1001116,风·召灵,通过武器，以气召唤黄色妖风吹向敌人。,skillicon/4141.png,skillicon/4141_small.png,2,3,16,,,,,,,,0|0~0.4765|0.0159~0|0~0|0,1,0|0~0.4765|0.0159~0|0~0|0,1,0|0~0.4765|0.0159~0|0~0|0,,,,,,,,,,,,
变身成大旋风,1001117,风·化形,运转武器，将自身旋转成强大的旋风攻击周围的敌人。,skillicon/4142.png,skillicon/4142_small.png,2,3,17,,,,,,,,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,,,,,,,,,,,,
召唤分身,1001118,风·幻神,腾空幻影，召唤出两个分身与自己一同进行战斗。,skillicon/41431.png,skillicon/4143_small.png,2,3,18,,,,,,,,0|0~0|0~0|0~0|0,1,0|0~0|0~0|0~0|0,1,0|0~0|0~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1001210,黄袍怪普攻1,黄袍怪普攻1,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,1001211,黄袍怪普攻2,黄袍怪普攻2,skillicon/11.png,skillicon/11.png,2,3,11,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
前冲加上挑,1001216,霸刀之道,拖刀提顿，沉郁有力，将前方敌人挑至半空造成伤害。,skillicon/4061.png,skillicon/4061_small.png,2,3,16,,,,,,,,0|0~0.81|0.027~0|0~0|0,1,0|0~0.81|0.027~0|0~0|0,1,0|0~0.81|0.027~0|0~0|0,,,,,,,,,,,,
旋转加重砍,1001217,劈山三式,横刀而立，借旋身之力蓄势而后发，一招可劈裂山岳，对敌人造成伤害。,skillicon/4062.png,skillicon/4062_small.png,2,3,17,,,,,,,,0|0~0.7286|0.0243~0|0~0|0,1,0|0~0.7286|0.0243~0|0~0|0,1,0|0~0.7286|0.0243~0|0~0|0,,,,,,,,,,,,
自爆,1001218,狂狼傲天,迸发自身潜力，仰天长啸，震飞敌人并造成伤害。,skillicon/4063.png,skillicon/4063_small.png,2,3,18,,,,,,,,0|0~0.92|0.0307~0|0~0|0,1,0|0~0.92|0.0307~0|0~0|0,1,0|0~0.92|0.0307~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1001310,红孩儿普攻,,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
向前冲刺,1001316,蛮牛冲撞,所乘蛮牛蓄力向前冲撞，牛角所抵，后蹄所及，一片烈火赤炎。,skillicon/4143.png,skillicon/4143_small.png,2,3,16,,,,,,,,0|0~0.81|0.027~0|0~0|0,1,0|0~0.81|0.027~0|0~0|0,1,0|0~0.81|0.027~0|0~0|0,,,,,,,,,,,,
小旋风,1001317,赤焰妖风,火尖枪掠地扬起一阵赤色旋风吹向敌人，风与火相缠，触及之地造成伤害。,skillicon/4142.png,skillicon/4142_small.png,2,3,17,,,,,,,,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,,,,,,,,,,,,
大火球,1001318,三昧真火,一跃而起，以血为咒引出三昧之火，自口中喷吐而出，形成烈烈火种。,skillicon/4032.png,skillicon/4032_small.png,2,3,18,,,,,,,,0|0~0.6333|0.0211~0|0~0|0,1,0|0~0.6333|0.0211~0|0~0|0,1,0|0~0.6333|0.0211~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1001910,银角普攻1,,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,1001911,银角普攻2,,skillicon/11.png,skillicon/11.png,2,3,11,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
葫芦吸,1001916,玉葫索命,取下随身法宝葫芦，唤名索命，对身前之人造成伤害。,skillicon/4023.png,skillicon/4023_small.png,2,3,16,,,,,,,,0|0~0.5143|0.0171~0|0~0|0,1,0|0~0.5143|0.0171~0|0~0|0,1,0|0~0.5143|0.0171~0|0~0|0,,,,,,,,,,,,
御剑前冲,1001917,御剑强袭,踏于剑身急速前行冲向敌人，爆发妖力，凌空一击！对敌人造成伤害。,skillicon/4901.png,skillicon/4901_small.png,2,3,17,,,,,,,,0|0~0.675|0.0225~0|0~0|0,1,0|0~0.675|0.0225~0|0~0|0,1,0|0~0.675|0.0225~0|0~0|0,,,,,,,,,,,,
浮空后重砍,1001918,堕天银芒,冲天而起，腾空旋身借力而落，触地前勾，带起一片银蓝剑芒，对敌人造成伤害。,skillicon/4024.png,skillicon/4024_small.png,2,3,18,,,,,,,,0|0~0.7286|0.0243~0|0~0|0,1,0|0~0.7286|0.0243~0|0~0|0,1,0|0~0.7286|0.0243~0|0~0|0,,,,,,,,,,,,
浮空连斩,1001919,碧空洗剑,折身腾挪，横刺斜穿，一剑洗碧空，剑光所及潇潇余影，对敌人造成伤害。,skillicon/111.png,skillicon/111_small.png,2,3,18,,,,,,,,0|0~0.675|0.0225~0|0~0|0,1,0|0~0.675|0.0225~0|0~0|0,1,0|0~0.675|0.0225~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000210,青狮道人普攻1,,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~0|0~0|0~0|0,1,0|0~0|0~0|0~0|0,1,0|0~0|0~0|0~0|0,,,,,,,,,,,,
,2000211,青狮道人普攻2,,skillicon/11.png,skillicon/11.png,2,3,11,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
向强打,2000216,千钧一击,双手提起武器挥向敌人，势若雷霆，一击而出，对前方敌人造成伤害。,skillicon/4081.png,skillicon/4081_small.png,2,3,16,,,,,,,,0|0~1.14|0.038~0|0~0|0,1,0|0~1.14|0.038~0|0~0|0,1,0|0~1.14|0.038~0|0~0|0,,,,,,,,,,,,
前后乱甩,2000217,力冠群伦,暴怒之下单手持武砸向地面，前后数次，重而迅猛，对周身敌人造成伤害。,skillicon/4082.png,skillicon/4082_small.png,2,3,17,,,,,,,,0|0~0.6333|0.0211~0|0~0|0,1,0|0~0.6333|0.0211~0|0~0|0,1,0|0~0.6333|0.0211~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000110,判官普攻,,skillicon/11.png,skillicon/11.png,2,3,11,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,2000116,判官技能1,死,skillicon/11.png,skillicon/11.png,2,3,16,,,,,,,,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,,,,,,,,,,,,
,2000117,判官技能2,生,skillicon/11.png,skillicon/11.png,2,3,17,,,,,,,,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19000110,雷公普攻,雷公普攻,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,19000116,雷羽凌天,腾空而起，连扇双翅，降下雷霆，造成伤害。,skillicon/4021.png,skillicon/4021_small.png,2,3,16,,,,,,,,0|0~0.81|0.027~0|0~0|0,1,0|0~0.81|0.027~0|0~0|0,1,0|0~0.81|0.027~0|0~0|0,,,,,,,,,,,,
,19000117,雷神之锤,上举雷锤，注入雷电，以千钧之力抛砸入地，造成大范围伤害。,skillicon/4022.png,skillicon/4022_small.png,2,3,17,,,,,,,,0|0~0.5|0.0167~0|0~0|0,1,0|0~0.5|0.0167~0|0~0|0,1,0|0~0.5|0.0167~0|0~0|0,,,,,,,,,,,,
,19000118,雷阵冲杀,腾空而起，雷锤雷锥相击，召唤威力巨大的雷电之阵造成伤害。,skillicon/4023.png,skillicon/4023_small.png,2,3,18,,,,,,,,0|0~0.5308|0.0177~0|0~0|0,1,0|0~0.5308|0.0177~0|0~0|0,1,0|0~0.5308|0.0177~0|0~0|0,,,,,,,,,,,,
,19000119,雷影掠击,扬翅，以极快的速度掠击敌人造成伤害。,skillicon/4024.png,skillicon/4024_small.png,2,3,19,,,,,,,,0|0~1.14|0.038~0|0~0|0,1,0|0~1.14|0.038~0|0~0|0,1,0|0~1.14|0.038~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19000810,金角普攻1,金角普攻1,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,19000811,金角普攻2,金角普攻2,skillicon/11.png,skillicon/11.png,2,3,11,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
玉净瓶,19000816,净瓶索命,使用玉净瓶，瓶启，则见威力巨大之光柱冲击而出，对敌人造成伤害。,skillicon/4031.png,skillicon/4031_small.png,2,3,16,,,,,,,,0|0~0.6333|0.0211~0|0~0|0,1,0|0~0.6333|0.0211~0|0~0|0,1,0|0~0.6333|0.0211~0|0~0|0,,,,,,,,,,,,
芭蕉扇,19000817,扇引三昧,使用芭蕉扇，扇动，则见赤金火焰狂啸而出，造成伤害。,skillicon/4032.png,skillicon/4032_small.png,2,3,17,,,,,,,,0|0~0.81|0.027~0|0~0|0,1,0|0~0.81|0.027~0|0~0|0,1,0|0~0.81|0.027~0|0~0|0,,,,,,,,,,,,
瞬移,19000818,浮光错影,瞬间移动，拉开与敌人之间的距离。,skillicon/4033.png,skillicon/4033_small.png,2,3,18,,,,,,,,0|0~1.03|0.0343~0|0~0|0,1,0|0~1.03|0.0343~0|0~0|0,1,0|0~1.03|0.0343~0|0~0|0,,,,,,,,,,,,
捆仙索,19000819,捆仙缚灵,使用幌金绳，绳出，则见漫紫弥天，对敌人吸至身前造成伤害。,skillicon/4034.png,skillicon/4034_small.png,2,3,19,,,,,,,,0|0~0.675|0.0225~0|0~0|0,1,0|0~0.675|0.0225~0|0~0|0,1,0|0~0.675|0.0225~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19000916,九尾技能1,九尾技能1,skillicon/11.png,skillicon/11.png,2,3,16,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,19000917,九尾技能2,九尾技能2,skillicon/11.png,skillicon/11.png,2,3,17,,,,,,,,0|0~0.42|0.014~0|0~0|0,1,0|0~0.42|0.014~0|0~0|0,1,0|0~0.42|0.014~0|0~0|0,,,,,,,,,,,,
,19000918,九尾技能3,九尾技能3,skillicon/4031.png,skillicon/4031_small.png,2,3,18,,,,,,,,0|0~0.675|0.0225~0|0~0|0,1,0|0~0.675|0.0225~0|0~0|0,1,0|0~0.675|0.0225~0|0~0|0,,,,,,,,,,,,
,19000919,九尾技能4,九尾技能4,skillicon/4032.png,skillicon/4032_small.png,2,3,19,,,,,,,,0|0~0.45|0.015~0|0~0|0,1,0|0~0.45|0.015~0|0~0|0,1,0|0~0.45|0.015~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
砸地,19000310,阎王攻击1,阎王攻击1,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
抡铁锤,19000316,地煞灭绝,轮转掌中锤链，巨锤出手笼罩周身，煞气成影，所触之敌遭受伤害。,skillicon/4142.png,skillicon/4142_small.png,2,3,16,,,,,,,,0|0~0.675|0.0225~0|0~0|0,1,0|0~0.675|0.0225~0|0~0|0,1,0|0~0.675|0.0225~0|0~0|0,,,,,,,,,,,,
六道,19000317,六道轮回,召唤地府深处轮回之眼，放出万千冤魂攻击敌人。,skillicon/4073.png,skillicon/4073_small.png,2,3,17,,,,,,,,0|0~0.5143|0.0171~0|0~0|0,1,0|0~0.5143|0.0171~0|0~0|0,1,0|0~0.5143|0.0171~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19000210,二郎神普攻1,二郎神普攻1,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,19000211,二郎神普攻2,二郎神普攻2,skillicon/11.png,skillicon/11.png,2,3,11,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
升龙,19000216,斜枪升龙,挥枪前扫，长枪划地爆发力量，对敌人造成伤害。,skillicon/4041.png,skillicon/4041_small.png,2,3,16,,,,,,,,0|0~1.03|0.0343~0|0~0|0,1,0|0~1.03|0.0343~0|0~0|0,1,0|0~1.03|0.0343~0|0~0|0,,,,,,,,,,,,
哮天犬,19000217,神犬啸天,召唤哮天犬向前扑击，对敌人造成伤害。,skillicon/4042.png,skillicon/4042_small.png,2,3,17,,,,,,,,0|0~0.7286|0.0243~0|0~0|0,1,0|0~0.7286|0.0243~0|0~0|0,1,0|0~0.7286|0.0243~0|0~0|0,,,,,,,,,,,,
天眼,19000218,开世天眼,悬空立身，开天眼扫荡目下所及之处，对敌人造成伤害。,skillicon/4043.png,skillicon/4043_small.png,2,3,18,,,,,,,,0|0~0.675|0.0225~0|0~0|0,1,0|0~0.675|0.0225~0|0~0|0,1,0|0~0.675|0.0225~0|0~0|0,,,,,,,,,,,,
变身,19000219,鹰隼试翼,化身鹰隼，快速多次攻击敌人。,skillicon/4044.png,skillicon/4044_small.png,2,3,19,,,,,,,,0|0~0.81|0.027~0|0~0|0,1,0|0~0.81|0.027~0|0~0|0,1,0|0~0.81|0.027~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19000510,沙僧普攻1,沙僧普攻1,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,19000511,沙僧普攻2,沙僧普攻2,skillicon/11.png,skillicon/11.png,2,3,11,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
沙僧技能1,19000516,怨气冲天,以月牙铲刺地，贯通地府召唤滔天血腥怨气，阴暗逼人，对敌人造成伤害。,skillicon/4054.png,skillicon/4054_small.png,2,3,16,,,,,,,,0|0~0.5143|0.0171~0|0~0|0,1,0|0~0.5143|0.0171~0|0~0|0,1,0|0~0.5143|0.0171~0|0~0|0,,,,,,,,,,,,
沙僧技能2,19000517,冤魂索命,扬起武器，召唤地府冤魂浮现身畔。炸碎冤魂，对周身敌人造成伤害。,skillicon/4053.png,skillicon/4053_small.png,2,3,17,,,,,,,,0|0~0.5727|0.0191~0|0~0|0,1,0|0~0.5727|0.0191~0|0~0|0,1,0|0~0.5727|0.0191~0|0~0|0,,,,,,,,,,,,
沙僧技能3,19000518,血海横陈,连结武器两端猛力刺出，带起一片腥风血雨，血色所到之处，对敌人造成伤害。,skillicon/113.png,skillicon/113_small.png,2,3,18,,,,,,,,0|0~0.81|0.027~0|0~0|0,1,0|0~0.81|0.027~0|0~0|0,1,0|0~0.81|0.027~0|0~0|0,,,,,,,,,,,,
沙僧技能4,19000519,沉落无间,力大无穷，将敌人勾起并掷于地下，地裂之处，隐隐可见无间之道。对敌人造成伤害。,skillicon/4014.png,skillicon/4014_small.png,2,3,19,,,,,,,,0|0~0.92|0.0307~0|0~0|0,1,0|0~0.92|0.0307~0|0~0|0,1,0|0~0.92|0.0307~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19000610,镇元子普攻,镇元子普攻,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,19000616,镇元子吸吸吸,镇元子吸吸吸,skillicon/11.png,skillicon/11.png,2,3,16,,,,,,,,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,,,,,,,,,,,,
,19000617,镇元子陨石雨,镇元子陨石雨,skillicon/11.png,skillicon/11.png,2,3,17,,,,,,,,0|0~0.675|0.0225~0|0~0|0,1,0|0~0.675|0.0225~0|0~0|0,1,0|0~0.675|0.0225~0|0~0|0,,,,,,,,,,,,
,19000618,镇元子浮游炮,镇元子浮游炮,skillicon/11.png,skillicon/11.png,2,3,18,,,,,,,,0|0~0.4154|0.0138~0|0~0|0,1,0|0~0.4154|0.0138~0|0~0|0,1,0|0~0.4154|0.0138~0|0~0|0,,,,,,,,,,,,
,19000619,镇元子火柱,镇元子火柱,skillicon/11.png,skillicon/11.png,2,3,19,,,,,,,,0|0~0.45|0.015~0|0~0|0,1,0|0~0.45|0.015~0|0~0|0,1,0|0~0.45|0.015~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19000410,猪刚鬣普攻,猪刚鬣普攻,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,19000416,向前重击,猪刚鬣技能1,skillicon/11.png,skillicon/11.png,2,3,16,,,,,,,,0|0~1.03|0.0343~0|0~0|0,1,0|0~1.03|0.0343~0|0~0|0,1,0|0~1.03|0.0343~0|0~0|0,,,,,,,,,,,,
